transaction_id,product_name,main_category,item_count,items,source
8718114724485,mayonnaise,mayonnaises,7,rapeseed oil | egg | egg yolk (7 | spirit vinegar | lemon juice concentrate | paprika extract | sunflower oil,Open Food Facts
8004172000501,halta cucina,sauces blanches,10,salse | pizza | oli vegetali di girasole soia e palma | latticello e latte scremato in polvere | maltodestrine | emulsionanti (e472e | lecitina di soia | e471 | addensanti (e412 | e410,Open Food Facts
3155251205449,Ma Crème anglaise,light custard cream with vanilla,5,lait enfer | œufs concentrés sucrés | amidons de maïs et pomme de terre | arômes naturels | concentré de carotte,Open Food Facts
3307130605004,Sauce tomate Provencale,groceries,11,tomates (purée de tomates mi réduite | pulpe de tomates | oignons en morceaux | sel marin | plantes aromatiques 0 | huile d'olive vierge extra | purée d'ail | sucre de canne | huile de tournesol | poivre noir | produits issus de l'agriculture biologique,Open Food Facts
3564707082549,Moutarde de Dijon bio,groceries,3,graines de moutarde | vinaigre d'alcool | ingrédients issus de l'agriculture biologique,Open Food Facts
3038359011436,Panzani sauce provencale nat 210g f12,tomato sauces with onions,8,légumes frais (carrottes | oignons | huile d'olive vierge | amidon | persil | herbes de provence 0 | arômes naturels d'herbe | extrait d'oigons,Open Food Facts
3250391587285,Houmous - IDS -180g,autres tartinables,8,pois chiches 56 | pâte de sésame 14 | huile de colza | pâte de sésame toasté 1 | ail | acidifiant : acide citrique | conservateur : sorbate de potassium | poivre blanc,Open Food Facts
3038359007651,Bolognaise classique,bolognese sauces,11,tomato pulp and tomato concentrate | meat 17 | beef | pork 8 | vegetables (carrots | onions | processed corn starch | parsley | sunflower oil | aromas | garlic,Open Food Facts
4002359017988,Sauce soja salée,sauces au soja salees,6,soya bean | vegetable | legume | pulse | soya | wheat,Open Food Facts
8402001007033,Ketchup Zero,tomato ketchup,8,tomate | fibra de milho | vinagre de álcool | amido modificado de milho | especiaria | extrato de especiarias | edulcorante | conservantes,Open Food Facts
3250546610271,Moutarde Fine et Forte Flacon Souple,groceries,6,moutarde seeds | alcohol vinegar | acidifier: citric acid | moutarde flour | stabilizer: xanthan gum | preservative: e224,Open Food Facts
8076809572569,PESTO,pestos,8,basil 35 | sunflower oil | cashews | glucose syrup | modified corn starch | natural flavourings | extra virgin olive oil | acidity regulator: lactic acid,Open Food Facts
5000157076410,Seriously Good Mayonnaise,groceries,5,rapeseed oil | pasteurised free range egg yolk | spirit vinegar | starch | mustard seeds,Open Food Facts
